location,lat_lon
500 Upper Bukit Timah Road,"1.3623231, 103.7682418"
432 Orchard Road,"1.3030386, 103.8355366"
777 East Coast Road,"1.3069326, 103.9065112"
567 Victoria Street,"1.2988339, 103.8544154"
234 Woodlands Drive 75,"1.4286768, 103.7864073"
890 Kallang Road,"1.3101341, 103.8690249"
214 Balestier Road,"1.3230517, 103.852543"
345 Jalan Kayu,"1.3976345, 103.8731175"
632 Lorong 1 Realty Park,"1.3669382, 103.8911007"
44 Shenton Way,"1.2786955, 103.8493414"
232 Pasir Ris Drive 4,"1.3745684, 103.9615112"
101 Beach Road,"1.2950131, 103.8554438"
12 Bukit Batok Street 24,"1.3428427, 103.754379"
56 Thomson Lane,"1.3305761, 103.8406106"
91 Toa Payoh East,"1.3342516, 103.8589025"
205 Serangoon Road,"1.3137163, 103.8569301"
314 Upper Serangoon Road,"1.3614352, 103.88663"
514 Tampines Avenue 9,"1.3613635, 103.9547765"
617 Mountbatten Road,"1.3008603, 103.893508"
23 Bukit Panjang Ring Road,"1.385983, 103.7640457"
1001 Woodlands Avenue 2,"1.4404266, 103.7863835"
12 Changi Road,"1.3248627, 103.9292277"
18 Marine Parade,"1.3058793, 103.9031707"
67 Holland Drive,"1.3136116, 103.779478"
86 Bedok Reservoir Road,"1.3379018, 103.9193629"
33 Punggol Field Walk,"1.3909882, 103.9117229"
55 Marine Parade Road,"1.3090547, 103.9259363"
212 Jurong West Avenue 5,"1.3504006, 103.7015816"
354 Kovan Road,"1.3577882, 103.8804949"
72 Tiong Bahru Road,"1.2896399, 103.8163692"
49 Jalan Besar,"1.304902, 103.8547829"
890 Yishun Avenue 1,"1.4257009, 103.8534979"
345 Upper Bukit Timah Road,"1.3527768, 103.7676934"
612 Bukit Batok Street 23,"1.3434509, 103.7542694"
112 Pasir Ris Central,"1.3722951, 103.9487201"
98 Jurong East Street 13,"1.3385508, 103.7345959"
21 Sembawang Road,"1.4029835, 103.8175563"
232 Bedok North Street 3,"1.3323794, 103.921908"
73 Lorong 1 Geylang,"1.3127946, 103.8715408"
246 Ang Mo Kio Avenue 3,"1.3685143, 103.8365122"
631 Upper Serangoon Road,"1.3408317, 103.8706462"
35 Bukit Batok West Avenue 4,"1.3630373, 103.7470595"
153 Tampines Avenue 4,"1.3521837, 103.9454497"
34 Bishan Street 23,"1.3569526, 103.8479655"
290 Joo Chiat Road,"1.3123779, 103.9000793"
100 Serangoon North Avenue 1,"1.3708719, 103.8716627"
88 Jurong Gateway Road,"1.3329992, 103.7409911"
27 Bedok South Road,"1.319016, 103.9287316"
78 Bukit Timah Road,"1.3291045, 103.8025087"
12 Bedok North Street 2,"1.3271542, 103.9378138"
521 Lorong 2 Toa Payoh,"1.3382166, 103.846249"
19 Clementi Road,"1.2936728, 103.768543"
250 Lorong Chuan,"1.3522036, 103.8646749"
500 Ubi Avenue 1,"1.3258973, 103.8966872"
901 Yishun Street 81,"1.415606, 103.8363376"
101 East Coast Parkway,"1.294742, 103.8681427"
567 Bukit Timah Road,"1.3190594, 103.8297824"
243 Ang Mo Kio Avenue 8,"1.3796921, 103.8466564"
34 Bukit Batok Street 32,"1.3604664, 103.7483404"
