date,location,time
2025-04-20 09:14:01,Bt Timah Rd (between Clementi Rd and Blackmore Dr),1705
2025-04-20 09:42:48,Coronation Walk,1735
2025-04-20 09:31:08,Kings Rd (between Prince Rd and Lutheran Rd),1705
2025-04-20 09:33:45,Junction of Stevens Road and Balmoral Road,1720
